Temperature,Volume,D,SM1,SM2,W,Mixing,Time,SM1B,SM2B,SM3B,WB,P,I1,I2,I3,I4
50,0.8,0.01,1,1.1,0.1,300,1.5,0.001601919,0.619852643,0.753257551,0.08473171,0.335160555,0.003208681,0.017099687,4.97E-06,4.69E-05
50,0.8,0.01,1,1.1,0.1,300,2.25,0.001886557,0.492620598,0.628236735,0.079405961,0.454481053,0.006032965,0.022422637,7.77E-06,9.86E-05
50,0.8,0.01,1,1.1,0.1,300,3,0.002221887,0.390574746,0.526836117,0.075416569,0.549810778,0.00903557,0.026408917,1.09E-05,0.000164313
50,0.8,0.01,1,1.1,0.1,300,3.75,0.002611468,0.308891461,0.44481731,0.072398948,0.625839645,0.011992137,0.029423041,1.44E-05,0.000241119
50,0.8,0.01,1,1.1,0.1,300,4.5,0.003056804,0.243666862,0.378642076,0.070099677,0.6863359,0.014788793,0.031718356,1.83E-05,0.000326785
50,0.8,0.01,1,1.1,0.1,300,5.25,0.003555518,0.19173592,0.325376032,0.068338211,0.734331476,0.017377674,0.033475335,2.28E-05,0.000419492
50,0.8,0.01,1,1.1,0.1,300,6,0.004100551,0.150527576,0.282596282,0.066983219,0.772270539,0.019748875,0.034825245,2.79E-05,0.000517776
50,0.8,0.01,1,1.2,0.5,100,0.75,0.001415365,0.728781503,0.989564119,0.471107978,0.183898426,0.000922574,0.042774246,1.10E-05,1.12E-05
50,0.8,0.01,1,1.2,0.5,100,1.5,0.001739236,0.548362661,0.836651729,0.441074553,0.332423452,0.003100917,0.072795291,2.34E-05,4.19E-05
50,0.8,0.01,1,1.2,0.5,100,2.25,0.002156084,0.40567003,0.711886524,0.419899017,0.451537513,0.005903306,0.093956391,3.78E-05,8.82E-05
50,0.8,0.01,1,1.2,0.5,100,3,0.002691916,0.293592412,0.611061685,0.405029765,0.546211069,0.0089495,0.10880842,5.51E-05,0.000147121
50,0.8,0.01,1,1.2,0.5,100,3.75,0.00337303,0.20669235,0.530677393,0.39471754,0.620379505,0.012023034,0.119099741,7.60E-05,0.00021591
50,0.8,0.01,1,1.2,0.5,100,4.5,0.004212997,0.140719902,0.467830918,0.387710703,0.677170164,0.015012711,0.126080968,0.000101575,0.000292372
50,0.8,0.01,1,1.2,0.5,100,5.25,0.005191669,0.092200817,0.420041627,0.38307863,0.719155327,0.017873651,0.130681708,0.000132908,0.000374621
50,0.8,0.01,1,1.2,0.5,100,6,0.006232671,0.058037276,0.385001857,0.380111148,0.748654325,0.020600822,0.133611421,0.000170677,0.00046105
50,0.8,0.1,1,1.1,0.5,100,0.75,0.040851353,0.137339128,0.262984746,0.485690186,0.784628837,0.001808294,0.018018403,0.000174911,5.22E-05
50,0.8,0.1,1,1.1,0.5,100,1.5,0.073186592,0.031371278,0.125984274,0.482322679,0.919097761,0.003029049,0.020963842,0.000596978,0.000142221
50,0.8,0.1,1,1.1,0.5,100,2.25,0.086568247,0.011327358,0.092009851,0.480918709,0.951384939,0.003824075,0.021788917,0.001175873,0.000239412
